Timestamp,"Are you a student, employee, or faculty? ","Are you an on-campus resident, off-campus resident or do you commute (live with family)?","Did you, at any point since March 2020, consider withdrawing from classes or placing yourself on academic hold?",Are you a student athlete?,Have you been placed in quarantine/isolation at any point since March 2020?,How many times have you been placed in quarantine/isolation?,What academic year are you?,How many credits are you taking this semester,How effective do you believe wearing a mask is on limiting exposure/spreading of COVID-19?,"Please rate your learning experience, since March 2020, based on the following: [I felt safe while attending class in person.]","Please rate your learning experience, since March 2020, based on the following: [The topics in my classes were adequately taught and properly covered.]","Please rate your learning experience, since March 2020, based on the following: [I felt my personal freedoms were respected by Seton Hill.]","Please rate your learning experience, since March 2020, based on the following: [I felt as if Seton Hill cared for my Mental Health.]","Please rate your learning experience, since March 2020, based on the following: [I believe that Seton Hill Athletic's Return to Play had an impact on my safety on campus. ]","Overall, do you think that Seton Hill adequately responded to the pandemic"
2021/03/25 10:08:25 AM AST,Student,On-campus resident,No,Yes,No,0,Sophomore,18-Dec,4,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Yes
2021/03/25 10:11:24 AM AST,Student,On-campus resident,No,Yes,Yes,2-Jan,Sophomore,18-Dec,4,Neutral,Agree,Agree,Strongly Agree,Neutral,Yes
2021/03/25 10:50:52 AM AST,Student,On-campus resident,No,Yes,Yes,2-Jan,First Year,18-Dec,3,Strongly Agree,Agree,Neutral,Neutral,Neutral,Yes
2021/03/25 12:04:29 PM AST,Student,Off-campus resident,No,Yes,Yes,2-Jan,Sophomore,18-Dec,1,Agree,Disagree,Disagree,Neutral,Neutral,Yes
2021/03/25 12:27:51 PM AST,Student,Off-campus resident,No,Yes,Yes,2-Jan,Junior,18-Dec,5,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Yes
2021/03/25 2:11:41 PM AST,Student,Off-campus resident,No,Yes,Yes,3,Senior,More than 18,1,Strongly Agree,Neutral,Disagree,Neutral,Strongly Disagree,Yes
2021/03/25 3:51:32 PM AST,Student,Off-campus resident,No,Yes,Yes,2-Jan,Sophomore,18-Dec,1,Agree,Disagree,Disagree,Neutral,Neutral,Yes
2021/03/25 4:22:24 PM AST,Student,Off-campus resident,No,Yes,Yes,3,Senior,More than 18,1,Strongly Agree,Neutral,Disagree,Neutral,Strongly Disagree,Yes
2021/03/25 10:17:15 PM AST,Student,Off-campus resident,No,Yes,No,0,Junior,18-Dec,3,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,Yes
2021/03/26 1:46:39 AM AST,Student,On-campus resident,No,Yes,Yes,3,Senior,18-Dec,5,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Yes
2021/03/26 8:59:16 AM AST,Student,On-campus resident,No,Yes,No,0,Junior,18-Dec,2,Agree,Neutral,Agree,Neutral,Strongly Agree,Yes
2021/03/26 9:57:11 AM AST,Student,On-campus resident,Yes,Yes,Yes,2-Jan,First Year,18-Dec,1,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,No
2021/03/26 3:04:35 PM AST,Student,On-campus resident,No,Yes,No,0,Junior,More than 18,5,Agree,Agree,Agree,Strongly Agree,Neutral,Yes
2021/03/26 3:06:31 PM AST,Student,On-campus resident,No,No,Yes,2-Jan,Sophomore,More than 18,5,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Yes
2021/03/26 3:40:19 PM AST,Student,On-campus resident,No,Yes,Yes,3,Sophomore,18-Dec,3,Strongly Agree,Neutral,Neutral,Neutral,Disagree,Yes
2021/03/26 6:38:28 PM AST,Student,Off-campus resident,No,Yes,Yes,3,Senior,18-Dec,4,Strongly Agree,Agree,Neutral,Neutral,Disagree,Yes
2021/03/26 8:52:14 PM AST,Student,On-campus resident,No,No,Yes,2-Jan,Sophomore,18-Dec,3,Agree,Disagree,Neutral,Disagree,Neutral,Yes
2021/03/27 5:11:56 PM AST,Student,On-campus resident,No,No,No,0,Junior,18-Dec,4,Neutral,Neutral,Strongly Agree,Disagree,Neutral,Yes
2021/03/27 5:30:33 PM AST,Student,On-campus resident,No,No,No,0,Junior,18-Dec,4,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Yes
2021/03/27 5:45:58 PM AST,Student,On-campus resident,No,No,No,0,Senior,18-Dec,4,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Yes
2021/03/27 10:57:43 PM AST,Student,On-campus resident,Yes,No,Yes,2-Jan,Sophomore,18-Dec,5,Neutral,Disagree,Agree,Disagree,Agree,No
2021/03/28 5:16:49 AM AST,Student,On-campus resident,No,No,Yes,2-Jan,Sophomore,18-Dec,4,Disagree,Agree,Agree,Disagree,Neutral,Yes
2021/03/28 8:11:11 AM AST,Student,On-campus resident,No,Yes,Yes,0,First Year,18-Dec,3,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Yes
2021/03/28 11:09:22 AM AST,Student,On-campus resident,No,Yes,Yes,2-Jan,First Year,18-Dec,5,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Yes
2021/03/28 12:08:03 PM AST,Student,On-campus resident,Yes,Yes,Yes,3,First Year,18-Dec,2,Agree,Agree,Neutral,Neutral,Disagree,No
2021/03/28 12:48:59 PM AST,Student,On-campus resident,No,Yes,Yes,2-Jan,First Year,18-Dec,3,Strongly Agree,Neutral,Neutral,Agree,Neutral,Yes
2021/03/28 1:01:18 PM AST,Student,On-campus resident,No,No,No,0,Junior,18-Dec,4,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Yes
2021/03/28 1:32:20 PM AST,Student,On-campus resident,No,No,Yes,2-Jan,First Year,18-Dec,3,Strongly Agree,Neutral,Agree,Neutral,Agree,Yes
2021/03/28 1:33:49 PM AST,Student,On-campus resident,No,No,No,0,First Year,18-Dec,4,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Yes
2021/03/28 9:10:58 PM AST,Student,On-campus resident,No,No,Yes,2-Jan,First Year,18-Dec,4,Agree,Neutral,Agree,Agree,Neutral,Yes
2021/03/28 9:49:24 PM AST,Student,On-campus resident,No,No,Yes,2-Jan,First Year,18-Dec,4,Agree,Neutral,Agree,Agree,Neutral,Yes
2021/03/28 10:05:19 PM AST,Student,On-campus resident,Yes,No,Yes,3,Senior,18-Dec,4,Agree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Yes
2021/03/28 10:24:24 PM AST,Student,On-campus resident,No,Yes,Yes,3,Junior,18-Dec,3,Agree,Agree,Neutral,Disagree,Disagree,Yes
2021/03/29 12:26:49 PM AST,Student,On-campus resident,Yes,Yes,Yes,2-Jan,First Year,18-Dec,2,Neutral,Disagree,Strongly Agree,Disagree,Strongly Disagree,Yes
2021/03/29 12:27:22 PM AST,Student,On-campus resident,No,No,Yes,2-Jan,First Year,18-Dec,4,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Yes
2021/03/29 12:33:54 PM AST,Student,On-campus resident,No,No,No,0,First Year,18-Dec,4,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Yes
2021/03/29 12:39:33 PM AST,Student,On-campus resident,No,Yes,No,2-Jan,First Year,18-Dec,2,Strongly Agree,Agree,Neutral,Neutral,Strongly Disagree,Yes
2021/03/29 2:07:53 PM AST,Student,On-campus resident,No,No,Yes,2-Jan,Junior,18-Dec,4,Agree,Agree,Agree,Agree,Neutral,Yes
2021/03/29 2:36:19 PM AST,Student,On-campus resident,No,Yes,No,0,First Year,18-Dec,1,Agree,Agree,Disagree,Neutral,Agree,Yes
2021/03/29 4:00:54 PM AST,Student,On-campus resident,No,Yes,Yes,2-Jan,Sophomore,18-Dec,4,Neutral,Neutral,Neutral,Strongly Disagree,Disagree,No
2021/03/29 4:52:45 PM AST,Student,On-campus resident,No,No,No,0,First Year,18-Dec,1,Agree,Agree,Neutral,Agree,Strongly Disagree,Yes
2021/03/29 4:59:41 PM AST,Student,On-campus resident,Yes,No,No,0,First Year,18-Dec,4,Agree,Agree,Disagree,Disagree,Agree,Yes
2021/03/29 6:40:49 PM AST,Student,On-campus resident,No,No,Yes,2-Jan,First Year,18-Dec,5,Agree,Agree,Agree,Strongly Agree,Neutral,Yes
2021/03/30 1:44:20 AM AST,Student,On-campus resident,No,No,Yes,3,First Year,18-Dec,3,Agree,Agree,Strongly Disagree,Neutral,Agree,Yes
2021/03/30 8:30:04 AM AST,Student,Commuter from home,No,No,Yes,2-Jan,Senior,Less than 12,1,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Yes
2021/03/30 8:42:03 AM AST,Student,Off-campus resident,No,Yes,Yes,2-Jan,Senior,Less than 12,3,Agree,Neutral,Agree,Agree,Agree,Yes
2021/03/30 8:46:16 AM AST,Student,Commuter from home,No,No,No,0,Junior,18-Dec,3,Neutral,Agree,Neutral,Agree,Neutral,Yes
2021/03/30 9:04:34 AM AST,Student,Commuter from home,No,No,No,0,Sophomore,18-Dec,1,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Neutral,No
2021/03/30 9:22:54 AM AST,Student,Off-campus resident,No,Yes,Yes,2-Jan,Senior,18-Dec,2,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Disagree,No
2021/03/30 9:25:39 AM AST,Student,On-campus resident,No,No,Yes,2-Jan,First Year,18-Dec,5,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Yes
2021/03/30 9:28:14 AM AST,Student,On-campus resident,No,Yes,Yes,2-Jan,First Year,18-Dec,4,Agree,Agree,Agree,Agree,Agree,Yes
2021/03/30 9:36:30 AM AST,Student,On-campus resident,No,Yes,No,0,First Year,18-Dec,5,Agree,Agree,Agree,Agree,Neutral,Yes
2021/03/30 10:57:49 AM AST,Student,Commuter from home,Yes,No,No,0,Sophomore,18-Dec,4,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Yes
2021/03/30 10:58:08 AM AST,Student,Commuter from home,No,No,No,0,First Year,18-Dec,5,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Yes
2021/03/30 11:00:36 AM AST,Student,On-campus resident,No,No,Yes,2-Jan,Senior,18-Dec,5,Disagree,Neutral,Strongly Agree,Neutral,Agree,Yes
2021/03/30 11:04:09 AM AST,Student,Off-campus resident,No,Yes,Yes,2-Jan,Junior,18-Dec,4,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Yes
2021/03/30 11:04:29 AM AST,Student,Commuter from home,No,No,No,0,Senior,18-Dec,5,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Yes
2021/03/30 11:13:54 AM AST,Student,On-campus resident,No,Yes,Yes,2-Jan,First Year,18-Dec,2,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree,Yes
2021/03/30 11:14:38 AM AST,Student,Off-campus resident,No,Yes,No,0,Senior,18-Dec,5,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Yes
2021/03/30 11:17:24 AM AST,Student,Off-campus resident,Yes,Yes,No,0,Sophomore,18-Dec,2,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Yes
2021/03/30 11:31:50 AM AST,Student,Off-campus resident,No,Yes,Yes,3,Senior,18-Dec,4,Strongly Agree,Agree,Neutral,Agree,Disagree,Yes
2021/03/30 11:49:17 AM AST,Student,Commuter from home,No,No,No,0,Junior,18-Dec,5,Agree,Agree,Agree,Agree,Neutral,Yes
2021/03/30 12:24:23 PM AST,Student,On-campus resident,No,No,Yes,3,Sophomore,18-Dec,4,Disagree,Strongly Disagree,Neutral,Neutral,Neutral,No
2021/03/30 12:37:14 PM AST,Student,On-campus resident,No,No,Yes,2-Jan,Sophomore,18-Dec,1,Strongly Agree,Agree,Disagree,Neutral,Disagree,No
2021/03/30 12:49:14 PM AST,Student,On-campus resident,No,Yes,Yes,3,First Year,18-Dec,2,Agree,Agree,Neutral,Agree,Strongly Disagree,Yes
2021/03/30 1:07:17 PM AST,Student,On-campus resident,Yes,No,Yes,2-Jan,Junior,More than 18,4,Agree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Yes
2021/03/30 3:20:07 PM AST,Student,On-campus resident,Yes,Yes,Yes,3,Sophomore,More than 18,1,Agree,Neutral,Neutral,Disagree,Disagree,No
2021/03/30 9:09:32 PM AST,Student,Off-campus resident,No,Yes,Yes,3,Senior,Less than 12,3,Strongly Agree,Neutral,Agree,Neutral,Neutral,Yes
2021/03/31 8:40:10 AM AST,Student,On-campus resident,No,Yes,Yes,2-Jan,Junior,18-Dec,1,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Disagree,No
2021/04/01 12:22:00 AM AST,Student,On-campus resident,No,No,No,0,Senior,18-Dec,4,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Yes
2021/04/01 9:27:35 AM AST,Student,On-campus resident,Yes,Yes,Yes,2-Jan,Sophomore,18-Dec,3,Agree,Agree,Disagree,Disagree,Neutral,Yes
2021/04/05 11:38:21 AM AST,Student,Off-campus resident,No,Yes,Yes,3,Senior,18-Dec,5,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes
2021/04/05 12:22:39 PM AST,Student,Off-campus resident,No,Yes,Yes,2-Jan,Junior,18-Dec,5,Agree,Neutral,Neutral,Neutral,Disagree,Yes
2021/04/05 2:08:26 PM AST,Student,Off-campus resident,No,Yes,No,0,Junior,18-Dec,2,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Yes
2021/04/05 8:24:42 PM AST,Student,Off-campus resident,No,Yes,No,0,Junior,18-Dec,4,Agree,Agree,Neutral,Neutral,Agree,Yes
